Question Number,Question,Answer 1(correct one),Answer 2,Answer 3,Answer 4,image_path
1,Wie heißt das abgebildete Segel?,Genua,Großsegel,Rasegel,Sturmfock,A/image_1.png
2,Wie heißt das abgebildete Segel?,Großsegel,Fock,Sturmfock,Spinnaker,A/image_2.png
3,Wie heißt das abgebildete Segel?,Spinnaker,Genua,Großsegel,Rasegel,A/image_3.png
4,Wie heißt das abgebildete Segel?,Sturmfock,Großsegel,Spinnaker,Rasegel,A/image_4.png
5,Wie heißt das abgebildete Segel?,Stagsegel,Spinnaker,Großsegel,Rasegel,A/image_5.png
6,Wie heißt der mit dem Pfeil gekenntzeichnete Gegenstand?,Baumniederholer,Baumsenker,Mastniederholer,Baumstrecker,A/image_6.png
7,Wie heißt der mit dem Pfeil gekenntzeichnete Gegenstand?,Unterliekstrecker,Vorliekstrecker,Unterliekspanner,Kantenspanner,A/image_7.png
8,Wie heißt der mit dem Pfeil gekenntzeichnete Gegenstand?,Block,Umlenkrolle,Leinenrolle,Lenkscheibe,A/image_8.png
9,Wie heißt der mit dem Pfeil gekenntzeichnete Gegenstand?,Pinnenausleger,Pinnenverlängerung,Pinnenansteuerung,Pinnenstock,A/image_9.png
10,Wie heißt der mit dem Pfeil gekenntzeichnete Gegenstand?,Saling,Wantspreize,Stagspreize,Querbaum,A/image_10.png
11,Wozu dient die Saling?,"Abspreizung der Wanten, um ein Durchbiegen des Mastes zu verringern","Abspreizung der Stage, um ein Durchbiegen des Mastes zu verringern","Abspreizung von Fallen, um einen besseren Angriffspunkt am Segel zu erreichen",Bessere Anströmung der Segel,
12,Wozu dient der Bauniederholer?,Verhindert das Aufsteigen des Baumes bei raumen Kursen,Bewirkt ein Aufsteigen des Baumes bei raumen Kursen,DasVorsegel kann dichter gefahren werden,Das Vorliek des Großsegels wird gestreckt,
13,Wozu dient das Großfall?,Zum aufheißen des Großsegels,Zum Spannen des Großsegel-Vorstags,Zum Spannen des Großsegelunterlieks,Zum Trimmen des Mastes,
14,Wozu dient das Fockfall?,Zum aufheißen des Focks,Zum Aufheißen des Großsegels,Zum Spannen des Fock Unterlieks,Zum Trimmen des Mastes,
15,Wozu dient der Traveller?,Zum besseren Trimmen des Großsegels,Zum besseren Trimmen des Vorsegels,Wird nur für den Spinnaker verwendet,Zum Besseren Ausreiten der Jolle,
16,Welche Leinen dienen zur Abstützung des Mastes?,Wanten und Stage,Fallen und Strecker,Leinen und Springs,Stopper und Klüsen,
17,Was ist das laufende Gut?,"Alle Leinen in der Takelage, die nicht zum Abstützen des Mastes dienen",Wanten und Stage,"Alle Leinen in der Takelage, die zur Abstützung des Mastes dienen","Alle Leinen an Bord, die durch Blöcke laufen",
18,was ist das stehende Gut?,"Alle Leinen in der Takelage, die zur Abstützung des Mastes dienen",Fallen und Strecker,"Alle Leinen in der Takelage, die nicht zur abstützung des Mastes dienen","Alle Leinen in der Takelage, die zum Festmachen des Bootes dienen",
19,Welche Funktion hat das Vorstag?,"Das Vorstag hindert den Mast daran, nach hinten zu kippen",Das Vorstag hindert den Mast daran nach vorne zu kippen,"Das Vorstag hindert den Mast daran, zur Seite zu kippen",Das Vorstag sorgt für eine leichte Vorspannung im Mast,
20,Welche Funktion haben die Wanten?,"Die Wanten hindern den Mast daran, zur Seite zu kippen",Die Wanten hindern den Mast daran nach hinten zu kippen,Mit Hilfe der Wanten kann während der Fahrt eine Biegung des Mastes nach Luv oder Lee vorgenommen werden,Die Wanten sorgen für eine Vorspannung des Mastes nach vor,
21,Welcher Gegenstand ist hier abgebildet?,Klampe,Belegnagel,Schotklemme,Lippklampe,A/image_21.png
22,Wozu dient eine Klampe?,Zum einfachen Belegen von Leinen,Zur Umlenkung von Leinen,Zum Spannen von Fallen,Zur Befestigung der Wanten,
23,Welcher Gegenstand ist hier abgebildet?,Lippklampe,Scheuerklampe,Belegreling,Klampenklemme,A/image_23.png
24,Was ist eine Lippklampe?,Damit eine Leine nicht am Deck des Bootes scheuert (schamfielt),Damit eine Leine leichter zu einer Klampe geführt werden kann,Damit eine Leine nicht ausrauschen kann,Damit eine Leine belegt werden kann,
25,Welcher Gegenstand ist hier abgebildet?,Curryklemme,Fallstopper,Schotklemme,Jollenklemme,A/image_25.png
26,Welcher Gegenstand ist hier abgebildet?,Schäkel,Schraubklemme,Klemmschraube,Kettenschraube,A/image_26.png
27,Wozu dient ein Schäkel?,"Zur festen Verbindung von zwei Augen, meist bei einer Kette oder einem Stahldraht",Zur Verbindung von Mast und Baum,Zur Verbindung von Pinne und Pinnenausleger,Zur Umlenkung von einer Schot,
28,Wie heißt der hier abgebildete Gegenstand?,Wantenspanner,Wantenregulierer,Wantenstrecker,Pütting,A/image_28.png
29,Wozu dient ein Wantenspanner?,Zum Einstellen der korrekten Spannung der Wanten,Zum Einstellen der korrekten Biegung des Mastes,Zum Einstellen der korrekten Neigung des Mastes nach vor,Zum Entlasten der Leewant während des Segelns,
30,Was ist ein Vorliekstrecker?,Der Vorliekstrecker spannt die vordere Kante des Segels,Der Vorliekstrecker spannt die untere Kante des Segels,Der Vorliekstrecker dient zur Entlastung des Baumes,Der Vorliekstrecker dient zur Erleichterung beim Anlegen Knoten und Leinen,
31,Was ist geschlagenes Gut?,"Leinen, deren Kardeelen miteinander verdreht sind","Leinen, deren Kardeelen miteinander verflochten sind","Leinen, die um eine Seele gedreht sind","Leinen, die durch Schläge mit einem Kardeelenschlägel lehniger (biegsamer) gemacht werden",
32,Was ist geflochtenes Gut?,"Leinen, deren Kardeelen miteinander verflochten sind","Leinen, deren Kardeelen miteinander verdreht sind","Leinen, die eine geflochtene Seele haben","Leinen, bei denen keine „normalen“ Knoten verwendet werden können, sondern nur sogenannte „Flechtknoten“",
33,Was wird beim Segeln als „GUT“ bezeichnet?,Oberbegriff für Leinen allgemein,"Spezielle Leinen, die nur zum Abstützen des Mastes dienen","Spezielle Leinen, die nicht zum Abstützen des Mastes dienen","Spezielle Leinen, die nur zum Festmachen des Bootes dienen",
34,Welche Vorteile hat geschlagenes Gut?,"Geschlagenes Gut ist meist dehnbarer als geflochtenes Gut, es eignet sich daher gut für Festmacher","Geschlagenes Gut ist meist nicht so dehnbar wie geflochtenes Gut, es eignet sich daher gut für Fallen",Geschlagenes Gut ist reißfester als geflochtenes Gut,Geschlagenes Gut hat keine besonderen Vorteile gegenüber geflochtenem Gut,
35,Welche Vorteile hat geflochtenes Gut?,"Geflochtenes Gut ist meist weniger dehnbar als geschlagenes Gut, es eignet sich daher gut für Fallen","Geflochtenes Gut ist meist dehnbarer als geschlagenes Gut, es eignet sich daher gut als Festmacher",Geflochtenes Gut ist meist lehniger (biegsamer) als geflochtenes Gut,Geflochtenes Gut hat keine besonderen Vorteile gegenüber geschlagenem Gut,
36,Ist dieser Kreuzknoten korrekt?,"Nein, dieser Knoten löst sich bei Belastung","Nein, dieser Knoten kann nach Belastung nicht mehr gelöst werden","Ja, dieser Knoten ist korrekt geknüpft","Dieser Knoten hat zwar die gleichen Vorteile, wie ein Kreuzknoten, ist aber unseemännisch",A/image_36.png
37,Ist dieser Palstek korrekt?,"Nein, dieser Knoten ist nach Belastung schwer zu lösen","Nein, dieser Knoten löst sich bei Belastung","Ja, dieser Knoten ist korrekt geknüpft","Dieser Knoten hat zwar die gleichen Vorteile, wie ein Palstek, ist aber unseemännisch",A/image_37.png
38,Ist dieser Schotstek korrekt?,"Ja, dieser Knoten ist korrekt geknüpft","Nein, dieser Knoten löst sich bei Belastung","Nein, dieser Knoten ist nach Belastung schwer zu lösen","Dieser Knoten hat zwar die gleichen Vorteile, wie ein Schotstek, ist aber unseemännisch",A/image_38.png
39,Ist dieser Kreuzschlag korrekt?,"Ja, dieser Kreuzschlag ist korrekt geknüpft","Nein, dieser Kreuzschlag löst sich bei Belastung","Nein, dieser Kreuzschlag ist nach Belastung schwer zu lösen","Dieser Knoten hat zwar die gleichen Vorteile, wie ein Kreuzschlag, ist aber unseemännisch",A/image_39.png
40,Ist dieser Kreuzknoten korrekt?,"Ja, dieser Knoten ist korrekt geknüpft","Nein, dieser Knoten löst sich bei Belastung","Nein, dieser Knoten ist nach Belastung schwer zu lösen","Dieser Knoten hat zwar die gleichen Vorteile, wie ein Kreuzknoten, ist aber unseemännisch",A/image_40.png
41,Wie funktioniert das Bindereff?,"Das Großfall wird gefiert, bis die gewünschte Reihe von Reffkauschen zum Baum gekommen ist. Anschließend mit Reffbändsel am Baum anbinden, das Großfall wieder durchsetzen",Das Großfall wird gefiert und das restliche Segel um den Baum gewickelt. Anschließend das Gorßfall wiedeer durchsetzen,Das Fockfall wird gefiert und das überschüssige Segel an der Reling festgebunden. Anschließend wird das Fockfall wieder durchgesetzt,Schoten leicht fieren. Durch Anholen der Reffleine wird die gewünschte Segelfläche eingerollt. Danach Reffleine belegen.,
42,Wie funktioniert das Rollreff?,Schoten leicht fieren. Durch Anholen der Reffleine wird die gewünschte Segelfläche eingerollt. Danach Reffleine belegen.,"Das Großfall wird gefiert, bis die gewünschte Reihe von Reffkauschen zum Baum gekommen ist. Anschließend mit Reffbändsel am Baum anbinden, das Großfall wieder durchsetzen",Das Großfall wird gefiert und das restliche Segel um den Baum gewickelt. Anschließend das Gorßfall wiedeer durchsetzen,Durch drehen an der Reffkurbel wird das Großsegel um den Großbaum gerollt,
43,Welches Segel wird üblicher Weise zuerst gerefft?,"Bei einer Slup das Großsegel, weil das Schiff durch die starke Krängung sonst zu Luvgierig wird","Bei einer Slup zuerst das Vorsegel, da das Schiff sonst zu leegierig wird","Bei einer Slup zurest das Vorsegel, da das Schiff sonst zu Luvgierig wird",Es sollten immer beide Segel zugleich gerefft werden,
44,Warum sollte bei zunehmender Windstärke gerefft werden?,Um die durch starke Krängung entstehende Luvgierigkeit auszugleichen,Um die bei starker Krängung entstehende Leegierigkeit auszugleichen,Um die Geschwindigkeit des Bootes zu verringern,Um die Sicht des Rudergängers nach vorne zu verbessern,
45,Wann sollte spätestens gerefft werden?,Wenn das Boot aufgrund starker Krängung zu luvgierig wird,Wenn das Boot aufgrund der starken Krängung zu leegierig wird,Wenn das Boot beginnt zu krängen,Wenn Kentergefahr besteht,
46,Wie heißt der hier abgebildete Kurs?,Kurs halber Wind,Kurs am Wind,Kurs raumer Wind,Kurs vor dem Wind,A/image_46.png
47,Wie heißt der hier abgebildete Kurs?,Kurs am Wind,Kurs halber Wind,Kurs raumer Wind,Kurs vor dem Wind,A/image_47.png
48,Wie heißt der hier abgebildete Kurs?,Kurs raumer Wind,Kurs am Wind,Kurs halber Wind,Kurs vor dem Wind,A/image_48.png
49,Wie heißt der hier abgebildete Kurs?,Kurs vor dem Wind,Kurs am Wind,Kurs raumer Wind,Kurs halber Wind,A/image_49.png
50,Wie heißt der hier abgebildete Kurs?,Kurs am Wind,Kurs halber Wind,Kurs raumer Wind,Kurs vor dem Wind,A/image_50.png
51,Wo befindet sich das rote Objekt?,Recht voraus,Genau vorne,Vorne,Recht bugwärts,A/image_51.png
52,Wo befindet sich das rote Objekt?,Steuerbord voraus,Backbord voraus,Recht steuerbord,Steuerbord querab,A/image_52.png
53,Wo befindet sich das rote Objekt?,Backbord querab,Links,Steuerbord querab,Seitlich Steuerbord,A/image_53.png
54,Wo befindet sich das rote Objekt?,Steuerbord achteraus,Rechts leicht hinten,Achterlich rechts,Backbord achteraus,A/image_54.png
55,Wo befindet sich das rote Objekt?,Recht achteraus,Heckwärts,Achtern weg,Hinten,A/image_55.png
56,Was bedeutet das Kommando Ree?,"Eine Anweisung an den Rudergänger, den Bug des Schiffes durch den Wind zu drehen","Eine Anweisung an den Rudergänger, das Heck des Schiffes durch den Wind zu drehen","Der Hinweis des Schiffsführers, dass der Bug des Schiffes gerade durch den Wind dreht","Eine Anweisung an den Vorschoter, das Vorsegel auf den anderen Bug zu holen",
57,Was bedeutet das Kommando rund Achtern?,"Eine Anweisung an den Rudergänger, das Heck des Schiffes durch den Wind zu drehen","Eine Anweisung an den Rudergänger, den Bug des Schiffes durch den Wind zu drehen","Der Hinweis des Schiffsführers, dass das Heck des Schiffes gerade durch den Wind dreht","Eine Anweisung an den Vorschoter, das Vorsegel auf den anderen Bug zu holen",
58,Was bedeutet das Kommando Schoten los?,"Eine Anweisung an die Besatzung, alle Schoten los zu werfen und die Segel killen zu lassen","Eine Anweisung an den Vorschoter, die Schoten etwas zu lockern. Das Segel darf dabei nicht killen","Ein Hinweis, dass die Segel killen","Eine Anweisung an die Besatzung, sofort die Segel zu bergen.",
59,Was bedeutet das Kommando Fiert auf die Schoten?,"Eine Anweisung an die Besatzung die Schoten soweit wie möglich zu lockern, ohne dass die Segeln killen","Eine Anweisung an die Besatzung, die Schoten nur leicht zu lockern.",Eine Anweisung an die Besatzung die Schoten los zu werfen und die Segel killen zu lassen,"Ein Hinweis, dass die Segel killen",
60,Was bedeutet das Kommando Holt dicht die Schoten?,"Eine Anweisung an die Besatzung, die Schoten soweit wie möglich zu spannen","Eine Anweisung an die Besatzung, die Schoten nur etwas stärker zu spannen",Eine Anweisung an die Besatzung die Segel zu bergen und die Schoten dann zu spannen,"Ein Hinweis, dass die Segel killen",
61,Was versteht man unter dem Begriff Luvgierig?,Wenn das Boot selbstständig nach Luv dreht,Wenn das Boot selbstständig nach Lee dreht,Wenn das Boot nach Lee gesteuert wird,Wenn das Boot nach Luv gesteuert wird,
62,Was versteht man unter dem Begriff Leegierig?,Wenn das Boot selbstständig nach Lee dreht,Wenn das Boot selbstständig nach Luv dreht,Wenn das Boot nach Lee gesteuert wird,Wenn das Boot nach Luv gesteuert wird,
63,Was versteht man unter dem Begriff Formstabil?,"Die Tendenz des Bootes, sich bei Krängung wieder aufzurichten wird durch die Form des Rumpfes erreicht","Die Tendenz des Bootes, sich bei Krängung wieder aufzurichten wird durch ein Ballastgewicht am Kiel erreicht",Die Segel sind aufgrund ihrer Form stabil,"Die Tendenz des Bootes, sich bei Krängung wieder aufzurichten wird durch die Form der Segel erreicht",
64,Was versteht man unter dem Begriff Gewichtsstabil?,"Die Tendenz des Bootes, sich bei Krängung wieder aufzurichten wird durch ein Ballastgewicht am Kiel erreicht","Die Tendenz des Bootes, sich bei Krängung wieder aufzurichten wird durch die Form des Rumpfes erreicht",Die Festigkeit des Rumpfes wird durch höheres Materialgewicht gewährleistet,"Die Tendenz des Bootes, sich bei Krängung wieder aufzurichten wird durch das Gewicht des Riggs erreicht",
65,Was versteht man unter dem Begriff Stabilität?,"Die Tendenz des Bootes, sich bei Krängung wieder aufzurichten.",Die ausreichende Festigkeit des Riggs,Die Steifigkeit des Rumpfes,"Ein Boot ist Stabil, wenn es weder luv- noch leegierig ist (Kursstabil)",
66,Welche Maßnahmen vergrößern die Leegierigkeit?,"Gewicht der Mannschaft nach achtern, Vorschot anholen, Großschot fieren","Gewicht der Mannschaft nach vorn, Großschot anholen, Vorschot fieren",Schwert absenken (nur bei Drehschwert),"Die Leegierigkeit eines Bootes kann nicht beeinflußt werden, sie ist ausschließlich von der Konstruktion des Bootes abhängig",
67,Welche Maßnahmen vergrößern die Luvgierigkeit?,"Gewicht der Mannschaft nach vorn, Großschot anholen, Vorschot fieren","Gewicht der Mannschaft nach achtern, Vorschot anholen, Großschot fieren",Schwert anheben (nur bei Drehschwert),"Die Luvgierigkeit eines Bootes kann nicht beeinflußt werden, sie ist ausschließlich von der Konstruktion des Bootes abhängig",
68,Welche Maßnahmen verkleinern die Leegierigkeit?,"Gewicht der Mannschaft nach vorn, Großschot anholen, Vorschot fieren","Gewicht der Mannschaft nach achtern, Vorschot anholen, Großschot fieren",Schwert anheben (nur bei Drehschwert),"Die Leegierigkeit eines Bootes kann nicht beeinflußt werden, sie ist ausschließlich von der Konstruktion des Bootes abhängig",
69,Welche Maßnahmen verkleinern die Luvgierigkeit?,"Gewicht der Mannschaft nach achtern, Vorschot anholen, Großschot fieren","Gewicht der Mannschaft nach vorn, Großschot anholen, Vorschot fieren",Schwert absenken (nur bei Drehschwert),"Die Luvgierigkeit eines Bootes kann nicht beeinflußt werden, sie ist ausschließlich von der Konstruktion des Bootes abhängig",
70,Was bewirkt Krängung unter anderem?,Luvgierigkeit,Leegierigkeit,Schnellere Fahrt,Weniger Abdrift,
71,Welche Eingenschaften hat ein gewichtsstabiles Boot?,Es kann nicht kentern,Es kann nicht sinken,Es ist nicht leegierig,Es ist nicht luvgierig,
72,Welche Eigenschaften hat ein formstabiles Boot?,Auch im gekenterten Zustand sinkt dieses Boot nicht,Es kann nicht kentern,Es ist nicht leegierig,Es ist nicht luvgierig,
73,Das hier abgebildete Boot ist...?,Gewichtsstabil,Formstabil,Luvgierig,Leegierig,A/image_73.png
74,Das hier abgebildete Boot ist...?,Formstabil,Gewichtssabil,Luvgierig,Leegierig,A/image_74.png
75,Welche Aufgaben hat ein Schwert?,Verringerung der Abdrift,Verringerung der Kentergefahr,Verringerung der Fahrgeschwindigkeit,Verringerung der Krängung,
76,Wie setzt sich der scheinbare Wind zusammen?,Aus wahrem Wind und Fahrtwind,Aus wahrem Wind und relativem Wind,Aus Fahrtwind und relativem Wind,Aus Land- und Seewind,
77,Wie fällt der scheinbare Wind auf Kurs am Wind ein?,Vorlicher und stärker als der wahre Wind,Vorlicher und schwächer als der wahre Wind,Achterlicher und stärker als der wahre Wind,Achterlicher und schwächer als der wahre Wind,
78,Wie ändert sich der scheinbar Wind im ersten Moment auf Kurs halber Wind beim Einfallen einer Böe?,Er wird stärker und fällt achterlicher ein,Er wird schwächer und fällt vorlicher ein,Er wird stärker und fällt vorlicher ein,Er wird schwächer und fällt achterlicher ein,
79,Auf welchem Kurs ist der scheinbare Wind am schwächsten?,Kurs vor dem Wind,Kurs halber Wind,Kurs am Wind,Die Stärke des scheinbaren Windes hängt nicht vom Kurs ab.,
80,Kann ein Boot schneller segeln als mit der Geschwindigkeit des wahren Windes?,"Ja, außer auf Kurs vor dem Wind","Ja, aber nur auf Kurs vor dem Wind","Ja, auf allen Kursen",Nein,
81,Was ist auflandiger Wind?,"Der Wind, der vom See her aufs Land weht","Der Wind, der vom Land her auf den See weht","Der Wind, der nur auf dem Land weht",Der Wind der durch Landformationen beschleunigt wird (Düseneffekt),
82,Was ist ablandiger Wind?,"Der Wind, der vom Land her auf den See weht","Der Wind, der vom See her aufs Land weht","Der Wind, der nur auf dem See weht","Der Wind, der von Landformationen auf den See gelenkt wird (Kapeffekt)",
83,Was ist thermischer Wind?,"Der Wind, der durch lokale Temperaturunterschiede entsteht","Der Wind, der durch globale Temperaturunterschiede entsteht","Der Wind, der durch kontinentale Temperaturunterschiede entsteht","Thermischer Wind hat für die Seefahrt keine Bedeutung, da es sich nur um Auf- oder Abwinde handelt",
84,Was ist Seewind?,"Der Wind, der vom See her aufs Land weht","Der Wind, der vom Land her auf den See weht","Der Wind, der nur auf dem See weht","Der Wind, der von Landformationen auf den See gelenkt wird (Kapeffekt)",
85,Was ist Landwind?,"Der Wind, der vom Land her auf den See weht","Der Wind, der vom See her aufs Land weht","Der Wind, der nur auf dem Land weht",Der Wind der durch Landformationen beschleunigt wird (Düseneffekt),
86,Welcher Wind ist hier abgebildet?,Seewind,Landwind,ablandiger Wind,Rotationswind,A/image_86.png
87,Welcher Wind ist hier abgebildet?,Landwind,Seewind,auflandiger Wind,Rotationswind,A/image_87.png
88,Welcher Wind ist hier abgebildet?,thermischer Wind,Seewind,auflandiger Wind,Rotationswind,A/image_88.png
89,Welcher Wind ist hier abgebildet?,auflandiger Wind,Landwind,ablandiger Wind,Rotationswind,A/image_89.png
90,Welcher Wind ist hier abgebildet?,ablandiger Wind,Seewind,auflandiger Wind,Rotationswind,A/image_90.png
91,Wie weht der Wind (Nordhalbkugel) ins Tief hinein?,Gegen den Uhrzeigersinn,Mit dem Uhrzeigersinn,Geradlinig,Nicht vorhersehbar,
92,Wie weht der Wind Nordhalbkugel) aus dem Hoch heraus?,Mit dem Uhrzeigersinn,Gegen den Uhrzeigersinn,Geradlinig,Nicht vorhersehbar,
93,Welche Eigenschaften haben Luftmassen in einem Tiefdruckgebiet?,Feucht und warm,Feucht und kalt,Trocken und kalt,Trocken und warm,
94,Welche Eigenschaften haben Luftmassen in einem Hochdruckgebiet?,Trocken und kalt,Feucht und kalt,Feucht und warm,Trocken und warm,
95,In welchem Luftdruckgebiet ist am ehesten mit Schlechtwetter zu rechnen?,Im Tiefdruckgebiet,Im Hochdruckgebiet,Schlechtwetter ist in beiden Gebieten gleich wahrscheinlich,Schlechtwetter ist nicht vom Luftdruck abhängig,
96,Wie entsteht ein Wärmegewitter?,Durch große Temperaturunterschiede auf der Erdoberfläche auf begrenztem Raum und sehr feuchter Luft,Durch stabile Schichtung von Luftmassen,Durch ungewöhnlich trockene Luft,Durch einen unvorhergesehenen Temperatursturz,
97,Was ist an einem Gewitter so gefährlich?,"Starke, böige Winde, Blitzschlaggefahr","Zwar sehr gleichmäßige, aber sehr starke Winde, Blitzschlaggefahr","Zwar fast keine Luftbewegung, aber Blitzschlaggefahr","Starke, böiger Winde, aber fast keine Blitzschlaggefahr, da Blitze nicht am See einschlagen.",
98,Welche Wettererscheinung kündigt die abgebildete Wolke an?,Ein Gewitter,Eine Warmfront,Eine stabile Wetterlage,Einen Wirbelwind,A/image_98.png
99,Welcher Wind ist typisch für ein Gewitter?,Unmittelbar vor dem Gewitter starke böige Winde aus Richtung der Gewitterwolke,Unmittelbar vor dem Gewitter starke böige Winde in Richtung Gewitterwolke,"Unmittelbar vor dem Gewitter leichter,m gleichmäßiger Wind aus Richtung der Wolke, langsam zunehmend","Unmittelbar vor dem Gewitter leichter, gleichmäßiger Wind aus Richtung der Wolke, sogar langsam abnehmend",
100,Welcher Wetterentwicklung kündigt diese Wolkenformation an?,Ein Gewitter,Eine Warmfront,Eine stabile Wetterlage,Einen Wirbelwind,A/image_100.png
101,Welche Verpflichtung hat der Schiffsführer in Hinblick auf das Wetter?,"Einholen des aktuellen Wetterberichts, ständige Wetterbeobachtung während der Fahrt",Wetterbeobachtung während der Fahrt ist nicht notwenidig,"In Österreich ist das Wetter sehr stabil, daher ist das Einholen des aktuellen Wetterberichts ausreichend",Keine besonderen,
102,Welche charakteristische Wolkenbildung kündigt im Sommer bei bisherigen Schönwetter ein Gewitter an?,"Hoch aufgetürmte, drohend schwarze Haufenwolken","Linsenförmige Haufenwolken, oft aus Westen aufziehend","In großer Höhe aufziehende Schleierwolken, werden langsam dichter","Rundum Entstehung von mittelgroßen, weißen Haufenwolken",
103,"Welche Maßnahmen treffen Sie, wenn ein Gewitter in Kürze zu erwarten ist?",Sofort Schutzhafen aufsuchen,"Weitersegeln, aber vorsichtshalber ein Reff einstecken",Schwimmwesten anlegen und Ausreitgurte überprüfen,"Gewitter stellen keine besondere Gefahr dar, es kann ohne Probleme weiter gesegelt werden.",
104,Über welche Quellen kann in österreich ein Wetterbericht bezogen werden?,"Radio, Internet, Tageszeitungen","Segelschulen sind in Österreich verpflichtet, Wetterberichte aufzulegen","Polizeidienststellen sind in Österreich verpflichtet, Wetterberichte aufzulegen",Über Seefunkdienste der Küstenfunkstationen können österreichische Wetterberichte empfangen werden.,
105,Ist der Schiffsführer in Österreich dazu verpflichtet sich vor der Fahrt über die aktuelle Wetterlage zu informieren?,"Ja, jeder Schiffsführer ist vor der Fahrt verpflichtet, sich über die aktuelle Wetterlage zu informieren","Nein, es wird aber empfohlen","Nein, die Beobachtung der Wetterlage reicht zur Einhaltung allgemeinen Sorgfaltspflicht aus","Nein, solche Verpflichtungen treffen Schiffsführer von Sportbooten nicht",
106,Ab welcher Windstärke wird in Österreich üblicher Weise eine Sturmwarnung ausgegeben?,In der Regel ab 8 Beaufort,In der Regel ab 4 Beaufort,In der Regel ab 10 Beaufort,In Österreich gibt es keine Sturmwarnsignale,
107,Sind die Sturmwarnsignale in Österreich einheitlich festgelegt?,"Nein, Sturmwarnsignale sind nicht einheitlich festgelegt, man muss sich vorher darüber informieren","Nein, Sturmwarnsignale sind nicht einheitlich festgelegt, sie haben für die Sportschifffahrt aber keine Bedeutung","Ja, Sturmwarnsignale sind in ganz Österreich einheitlich ferstgelegt",In Österreich gibt es keine Sturmwarnsignale,
108,"Ist Segeln in Österreich erlaubt, nachdem Sturmwarnsignale gegeben werden?","Bei Sturmwarnung kann es verboten sein, zu segeln. Es kann aber auch nur empfohlen werden, einen Hafen aufzusuchen. Das ist von See zu See verschieden.",Segeln ist bei Sturmwarnung ist generell verboten,"Segeln bei Sturmwarnung ist zwar erlaubt, es wird allerdings empfohlen, einen Schutzhafen aufzusuchen",In Österreich gibt es keine Sturmwarnsignale,
109,Welches Gesetz regelt die Schifffahrt in Österreich allgemein?,Schifffahrtsgesetz 1997,Fahrverordnung Seen/Flüsse,Seeverkehrsordnung 1990,Jachtzulassungsverordnung,
110,Was regelt in Österreich das Schifffahrtsgesetz?,Das Schifffahrtsgesetz regelt die Schifffahrt im Allgemeinen auf österreichischen Gewässern,Das Schifffahrtsgesetz regelt die Ausrüstungspflicht für Sportfahrzeuge,Das Schifffahrtsgesetz hat für die Sportschifffahrt keine Bedeutung,Es gibt in Österreich kein Schifffahrtsgesetz,
